Year,Month,Day,Open,High,Low,Close,Volumn,Return,QPL1,QPL2,QPL3,QPL4,QPL-1,QPL-2,QPL-3,QPL-4
2019,3,13,1.33522000,1.33710000,1.32903000,1.32993000,48107,0.99741259,1.33126595,1.33443605,1.33840604,1.34287470,1.31711008,1.32150764,1.32543916,1.32859539
2019,3,12,1.33927000,1.34170000,1.33520000,1.33522000,43850,1.00397765,1.33656126,1.33974398,1.34372976,1.34821619,1.32234908,1.32676414,1.33071130,1.33388008
2019,3,11,1.34144000,1.34393000,1.33922000,1.33926000,53986,1.00302572,1.34060532,1.34379767,1.34779550,1.35229552,1.32635014,1.33077855,1.33473766,1.33791603
2019,3,8,1.34403000,1.34660000,1.33899000,1.34172000,53189,1.00183684,1.34306779,1.34626600,1.35027118,1.35477946,1.32878643,1.33322297,1.33718935,1.34037356
2019,3,7,1.34395000,1.34670000,1.34132000,1.34538000,50295,1.00272784,1.34673147,1.34993840,1.35395451,1.35847508,1.33241115,1.33685979,1.34083699,1.34402989
2019,3,6,1.33486000,1.34567000,1.33482000,1.34400000,48762,0.99897427,1.34535008,1.34855373,1.35256571,1.35708165,1.33104445,1.33548853,1.33946165,1.34265127
2019,3,5,1.33009000,1.33598000,1.33007000,1.33484000,49558,0.99318452,1.33618088,1.33936269,1.34334733,1.34783249,1.32197275,1.32638654,1.33033258,1.33350046
2019,3,4,1.32756000,1.33374000,1.32734000,1.33006000,52077,0.99641905,1.33139608,1.33456649,1.33853687,1.34300597,1.31723882,1.32163681,1.32556872,1.32872526
2019,3,1,1.31704000,1.33059000,1.31296000,1.33045000,50797,1.00029322,1.33178647,1.33495782,1.33892936,1.34339976,1.31762506,1.32202434,1.32595741,1.32911487
2019,2,28,1.31536000,1.32071000,1.31398000,1.31696000,70130,0.98986057,1.31828292,1.32142211,1.32535338,1.32977846,1.30426510,1.30861978,1.31251296,1.31563841
2019,2,27,1.31636000,1.31760000,1.31177000,1.31548000,46247,0.99887620,1.31680143,1.31993709,1.32386395,1.32828406,1.30279937,1.30714915,1.31103796,1.31415989
2019,2,26,1.31860000,1.32354000,1.31548000,1.31626000,45182,1.00059294,1.31758222,1.32071974,1.32464892,1.32907165,1.30357185,1.30792421,1.31181532,1.31493911
2019,2,25,1.31335000,1.31969000,1.31124000,1.31865000,46952,1.00181575,1.31997462,1.32311783,1.32705415,1.33148491,1.30593881,1.31029907,1.31419725,1.31732671
2019,2,22,1.32273000,1.32415000,1.31335000,1.31417000,56296,0.99660259,1.31549012,1.31862266,1.32254560,1.32696131,1.30150200,1.30584744,1.30973238,1.31285121
2019,2,21,1.31744000,1.32339000,1.31625000,1.32290000,46565,1.00664298,1.32422889,1.32738223,1.33133124,1.33577628,1.31014784,1.31452216,1.31843290,1.32157245
2019,2,20,1.32104000,1.32156000,1.31499000,1.31747000,46643,0.99589538,1.31879343,1.32193384,1.32586663,1.33029343,1.30477019,1.30912655,1.31302124,1.31614789
2019,2,19,1.32348000,1.32807000,1.32052000,1.32104000,35496,1.00270974,1.32236702,1.32551593,1.32945938,1.33389817,1.30830577,1.31267394,1.31657918,1.31971431
2019,2,18,1.32497000,1.32543000,1.32248000,1.32348000,44636,1.00184703,1.32480947,1.32796420,1.33191493,1.33636192,1.31072225,1.31509848,1.31901094,1.32215186
2019,2,15,1.32899000,1.33127000,1.32449000,1.32467000,48915,1.00089914,1.32600067,1.32915823,1.33311252,1.33756351,1.31190078,1.31628095,1.32019692,1.32334067
2019,2,14,1.32518000,1.33401000,1.32287000,1.32909000,41887,1.00333668,1.33042511,1.33359321,1.33756069,1.34202653,1.31627817,1.32067296,1.32460200,1.32775623
2019,2,13,1.32347000,1.32590000,1.31959000,1.32527000,43556,0.99712585,1.32660127,1.32976026,1.33371634,1.33816935,1.31249500,1.31687715,1.32079490,1.32394007
2019,2,12,1.32992000,1.33141000,1.32328000,1.32352000,45503,0.99867951,1.32484951,1.32800434,1.33195519,1.33640231,1.31076187,1.31513823,1.31905081,1.32219182
2019,2,11,1.32687000,1.33186000,1.32617000,1.32992000,47182,1.00483559,1.33125594,1.33442602,1.33839598,1.34286461,1.31710017,1.32149770,1.32542920,1.32858540
